,column,ontologies
10,Weight at the time of visit,"['http://purl.bioontology.org/ontology/LNC/MTHU021563', 'http://purl.bioontology.org/ontology/LNC/29463-7', 'http://purl.bioontology.org/ontology/LNC/LP18015-5', 'http://purl.bioontology.org/ontology/OMIM/MTHU073617', 'http://purl.bioontology.org/ontology/LNC/LP221195-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/726527001', 'http://purl.bioontology.org/ontology/LNC/LP97908-5', 'http://purl.bioontology.org/ontology/OMIM/MTHU000050', 'http://purl.bioontology.org/ontology/SNOMEDCT/406544004', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.obolibrary.org/obo/NCIT_C25716']"
11,Height at the time of visit,"['http://purl.bioontology.org/ontology/OMIM/MTHU000047', 'http://purl.bioontology.org/ontology/LNC/LP72681-7', 'http://purl.bioontology.org/ontology/LNC/MTHU005354', 'http://purl.bioontology.org/ontology/SNOMEDCT/406544004', 'http://purl.bioontology.org/ontology/SNOMEDCT/900000000000475002', 'http://purl.bioontology.org/ontology/LNC/LP436318-2', 'http://purl.bioontology.org/ontology/LNC/MTHU009151', 'http://purl.bioontology.org/ontology/SNOMEDCT/410669006', 'http://purl.bioontology.org/ontology/LNC/LP6879-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/410670007', 'http://purl.bioontology.org/ontology/LNC/LP73517-2', 'http://purl.obolibrary.org/obo/NCIT_C25716']"
12,Grade in school,"['http://purl.bioontology.org/ontology/LNC/MTHU003112', 'http://purl.bioontology.org/ontology/LNC/LP72649-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/103421006', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370']"
13,Type of school,"['http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370']"
14,Sibling,"['http://purl.obolibrary.org/obo/GSSO_001955', 'http://purl.bioontology.org/ontology/LNC/LA16889-0', 'http://purl.bioontology.org/ontology/LNC/MTHU037907', 'http://purl.bioontology.org/ontology/SNOMEDCT/375005', 'http://purl.bioontology.org/ontology/LNC/MTHU016169', 'http://purl.bioontology.org/ontology/LNC/LP310107-0', 'http://purl.bioontology.org/ontology/LNC/LP114614-3', 'http://purl.bioontology.org/ontology/LNC/LP33132-9']"
15,Number of sibling,"['http://purl.bioontology.org/ontology/LNC/MTHU024869', 'http://purl.bioontology.org/ontology/SNOMEDCT/410680006', 'http://purl.bioontology.org/ontology/LNC/LP18011-4', 'http://semanticscience.org/resource/SIO_000366', 'http://purl.obolibrary.org/obo/GSSO_001955', 'http://purl.bioontology.org/ontology/LNC/LA16889-0', 'http://purl.bioontology.org/ontology/LNC/MTHU037907', 'http://purl.bioontology.org/ontology/SNOMEDCT/375005', 'http://purl.bioontology.org/ontology/LNC/MTHU016169', 'http://purl.bioontology.org/ontology/LNC/LP310107-0', 'http://purl.bioontology.org/ontology/LNC/LP114614-3', 'http://purl.bioontology.org/ontology/LNC/LP33132-9']"
16,Rank in order of birth,"['http://purl.bioontology.org/ontology/SNOMEDCT/263486008', 'http://purl.bioontology.org/ontology/OMIM/603499', 'http://www.orpha.net/ORDO/Orphanet_120160', 'http://purl.obolibrary.org/obo/NCIT_C42680', 'http://purl.bioontology.org/ontology/SNOMEDCT/721963009', 'http://purl.bioontology.org/ontology/SNOMEDCT/3950001', 'http://purl.obolibrary.org/obo/GO_0007567']"
17,Do you have children?,[]
18,Number of children,"['http://purl.bioontology.org/ontology/LNC/MTHU024869', 'http://purl.bioontology.org/ontology/SNOMEDCT/410680006', 'http://purl.bioontology.org/ontology/LNC/LP18011-4', 'http://semanticscience.org/resource/SIO_000366']"
19,Relationship status,"['http://purl.obolibrary.org/obo/GSSO_004690', 'http://purl.obolibrary.org/obo/GSSO_000717', 'http://purl.bioontology.org/ontology/LNC/LP262503-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/263498003', 'http://purl.bioontology.org/ontology/LNC/MTHU015827', 'http://purl.bioontology.org/ontology/SNOMEDCT/263490005', 'http://purl.bioontology.org/ontology/LNC/LP73412-6', 'http://purl.obolibrary.org/obo/NCIT_C25688', 'http://purl.bioontology.org/ontology/LNC/106199-3']"
