,column,ontologies
386,Tools of suicide: Does anything help you with your ideas of death / SH or suicidal ideation: Performing physical activity,"['http://purl.bioontology.org/ontology/SNOMEDCT/44301001', 'http://purl.bioontology.org/ontology/LNC/LA18036-6', 'http://purl.obolibrary.org/obo/GSSO_005364', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_004103', 'http://purl.bioontology.org/ontology/LNC/LA7424-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/419620001', 'http://purl.bioontology.org/ontology/LNC/MTHU063331', 'http://purl.bioontology.org/ontology/LNC/LP411350-4', 'http://purl.obolibrary.org/obo/HP_0031589', 'http://purl.bioontology.org/ontology/SNOMEDCT/6471006', 'http://purl.bioontology.org/ontology/LNC/94037-9', 'http://purl.obolibrary.org/obo/GSSO_009664', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.obolibrary.org/obo/GSSO_009662', 'http://purl.bioontology.org/ontology/SNOMEDCT/68130003', 'http://purl.obolibrary.org/obo/NCIT_C17708', 'http://purl.bioontology.org/ontology/SNOMEDCT/390736008', 'http://purl.bioontology.org/ontology/LNC/MTHU017278', 'http://purl.bioontology.org/ontology/LNC/MTHU048827', 'http://purl.bioontology.org/ontology/LNC/LP34367-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/19388002', 'http://purl.bioontology.org/ontology/LNC/LA33031-8', 'http://purl.bioontology.org/ontology/LNC/MTHU000078', 'http://purl.bioontology.org/ontology/LNC/LP72045-5', 'http://purl.bioontology.org/ontology/SNOMEDCT/257733005', 'http://purl.obolibrary.org/obo/NCIT_C43431', 'http://purl.bioontology.org/ontology/LNC/MTHU002837', 'http://purl.bioontology.org/ontology/STY/T052', 'http://purl.bioontology.org/ontology/STY/T052', 'http://purl.bioontology.org/ontology/STY/T052']"
387,Tools of suicide: Does anything help you with your ideas of death / SH or suicidal ideation: Listening to music,"['http://purl.bioontology.org/ontology/SNOMEDCT/44301001', 'http://purl.bioontology.org/ontology/LNC/LA18036-6', 'http://purl.obolibrary.org/obo/GSSO_005364', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_004103', 'http://purl.bioontology.org/ontology/LNC/LA7424-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/419620001', 'http://purl.bioontology.org/ontology/LNC/MTHU063331', 'http://purl.bioontology.org/ontology/LNC/LP411350-4', 'http://purl.obolibrary.org/obo/HP_0031589', 'http://purl.bioontology.org/ontology/SNOMEDCT/6471006', 'http://purl.bioontology.org/ontology/LNC/94037-9', 'http://purl.obolibrary.org/obo/GSSO_009664', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.obolibrary.org/obo/GSSO_009662', 'http://purl.bioontology.org/ontology/LNC/LA17907-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/37931006', 'http://purl.bioontology.org/ontology/LNC/LA25353-6', 'http://purl.obolibrary.org/obo/GSSO_004300']"
388,Tools of suicide: Does anything help you with your ideas of death / SH or suicidal ideation: Drawing/Writing,"['http://purl.bioontology.org/ontology/SNOMEDCT/44301001', 'http://purl.bioontology.org/ontology/LNC/LA18036-6', 'http://purl.obolibrary.org/obo/GSSO_005364', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_004103', 'http://purl.bioontology.org/ontology/LNC/LA7424-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/419620001', 'http://purl.bioontology.org/ontology/LNC/MTHU063331', 'http://purl.bioontology.org/ontology/LNC/LP411350-4', 'http://purl.obolibrary.org/obo/HP_0031589', 'http://purl.bioontology.org/ontology/SNOMEDCT/6471006', 'http://purl.bioontology.org/ontology/LNC/94037-9', 'http://purl.obolibrary.org/obo/GSSO_009664', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.obolibrary.org/obo/GSSO_009662', 'http://purl.bioontology.org/ontology/LNC/MTHU070779', 'http://purl.bioontology.org/ontology/LNC/LP442605-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/12261009', 'http://purl.bioontology.org/ontology/LNC/106396-5', 'http://purl.obolibrary.org/obo/GSSO_006632']"
389,Tools of suicide: Does anything help you with your ideas of death / SH or suicidal ideation: Reading,"['http://purl.bioontology.org/ontology/SNOMEDCT/44301001', 'http://purl.bioontology.org/ontology/LNC/LA18036-6', 'http://purl.obolibrary.org/obo/GSSO_005364', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_004103', 'http://purl.bioontology.org/ontology/LNC/LA7424-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/419620001', 'http://purl.bioontology.org/ontology/LNC/MTHU063331', 'http://purl.bioontology.org/ontology/LNC/LP411350-4', 'http://purl.obolibrary.org/obo/HP_0031589', 'http://purl.bioontology.org/ontology/SNOMEDCT/6471006', 'http://purl.bioontology.org/ontology/LNC/94037-9', 'http://purl.obolibrary.org/obo/GSSO_009664', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.obolibrary.org/obo/GSSO_009662', 'http://purl.bioontology.org/ontology/LNC/LP217219-7', 'http://purl.bioontology.org/ontology/LNC/MTHU053650', 'http://purl.bioontology.org/ontology/SNOMEDCT/50360004', 'http://purl.bioontology.org/ontology/LNC/106395-7', 'http://purl.bioontology.org/ontology/LNC/LA17911-1']"
390,Tools of suicide: Does anything help you with your ideas of death / SH or suicidal ideation: Other,"['http://purl.bioontology.org/ontology/SNOMEDCT/44301001', 'http://purl.bioontology.org/ontology/LNC/LA18036-6', 'http://purl.obolibrary.org/obo/GSSO_005364', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_004103', 'http://purl.bioontology.org/ontology/LNC/LA7424-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/419620001', 'http://purl.bioontology.org/ontology/LNC/MTHU063331', 'http://purl.bioontology.org/ontology/LNC/LP411350-4', 'http://purl.obolibrary.org/obo/HP_0031589', 'http://purl.bioontology.org/ontology/SNOMEDCT/6471006', 'http://purl.bioontology.org/ontology/LNC/94037-9', 'http://purl.obolibrary.org/obo/GSSO_009664', 'http://purl.bioontology.org/ontology/SNOMEDCT/267073005', 'http://purl.bioontology.org/ontology/LNC/LA29198-1', 'http://purl.bioontology.org/ontology/OMIM/MTHU054298', 'http://purl.obolibrary.org/obo/GSSO_009662']"
391,"Other, if yes: Specify","['http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
392,Application date of the SCQ,"['http://purl.bioontology.org/ontology/SNOMEDCT/410618006', 'http://purl.bioontology.org/ontology/SNOMEDCT/413568008', 'http://purl.bioontology.org/ontology/SNOMEDCT/410619003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410672004', 'http://purl.bioontology.org/ontology/SNOMEDCT/410671006', 'http://purl.bioontology.org/ontology/LNC/LP74693-0', 'http://purl.bioontology.org/ontology/LNC/MTHU021546', 'http://purl.bioontology.org/ontology/SNOMEDCT/227423000', 'http://purl.bioontology.org/ontology/LNC/LP182451-7']"
393,Social Communication Questionnaire: 1. Is she/he now able to talk using short phrases or sentences?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/371150009', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.bioontology.org/ontology/SNOMEDCT/367450005', 'http://purl.bioontology.org/ontology/LNC/LA19631-3']"
394,"Social Communication Questionnaire: 2. Do you have a to-and-fro ""conversation"" with her/him that involves taking turns or building on what you have said?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/282987006', 'http://purl.obolibrary.org/obo/ENVO_00000073']"
395,Social Communication Questionnaire: 3. Does she/he ever use odd phrases or say the same thing over and over in almost exactly the same way (either phrases that she/he hears other people use or ones that she/he makes up)?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.obolibrary.org/obo/HP_0010865', 'http://purl.bioontology.org/ontology/OMIM/608891', 'http://www.orpha.net/ORDO/Orphanet_122102', 'http://www.w3.org/2002/07/owl#Thing', 'http://purl.bioontology.org/ontology/LNC/LA11930-7']"
396,"Social Communication Questionnaire: 4. Does she/he ever use socially inappropiate questions or statements? For example, does she/he regularly ask personal questions or make personal comments at awkward times?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.bioontology.org/ontology/OMIM/604281', 'http://purl.bioontology.org/ontology/SNOMEDCT/417929005']"
397,Social Communication Questionnaire: 5. Does she/he ever get her/his pronouns mixed up (e.g. saying you or she/he for I)?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/26242008', 'http://purl.bioontology.org/ontology/LNC/LA11840-8', 'http://purl.obolibrary.org/obo/GSSO_003225']"
398,"Social Communication Questionnaire: 6. Does she/he ever use words that she/he seems to have invented or made up herself/himself; put things in odd, indirect ways; or use metaphorical ways of saying things (e.g. saying hot rain for steam)?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018']"
399,Social Communication Questionnaire: 7. Does she/he ever say the same thing over and over in exactly the same way or insist that you say the same thing over and over again?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://www.w3.org/2002/07/owl#Thing']"
400,Social Communication Questionnaire: 8. Does she/he ever have things that she/he seems to have to do in a very particular way or order or rituals that she/he that you go through?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/NCIT_C42680', 'http://purl.bioontology.org/ontology/SNOMEDCT/721963009']"
401,"Social Communication Questionnaire: 9. Does her/his facial expression usually seem appropiate to the particular situation, as for as you can tell?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/101969-4', 'http://purl.bioontology.org/ontology/LNC/MTHU039959', 'http://purl.obolibrary.org/obo/GSSO_009619', 'http://purl.bioontology.org/ontology/LNC/LP121782-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/248148002', 'http://purl.bioontology.org/ontology/LNC/103778-7', 'http://purl.bioontology.org/ontology/LNC/LA9269-7', 'http://purl.org/sig/ont/fma/fma24728', 'http://purl.bioontology.org/ontology/SNOMEDCT/706999006', 'http://purl.bioontology.org/ontology/SNOMEDCT/10012005', 'http://purl.bioontology.org/ontology/LNC/LA14747-2']"
402,"Social Communication Questionnaire: 10. Does she/he ever use your hand like a tool or as if it were part of her/his own body (e.g. pointing wuith your finger, putting your hand on a doorknob to get you yo open the door)?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.org/sig/ont/fma/fma9712', 'http://purl.bioontology.org/ontology/SNOMEDCT/85562004', 'http://purl.bioontology.org/ontology/LNC/MTHU002685', 'http://purl.bioontology.org/ontology/LNC/LP7279-5', 'http://purl.bioontology.org/ontology/LNC/LP221491-6', 'http://purl.bioontology.org/ontology/LNC/LA16719-9', 'http://purl.bioontology.org/ontology/LNC/LP221488-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/86967005', 'http://purl.bioontology.org/ontology/LNC/LA34074-7', 'http://purl.org/sig/ont/fma/fma256135', 'http://purl.bioontology.org/ontology/LNC/LP222071-5', 'http://purl.bioontology.org/ontology/LNC/MTHU011987', 'http://purl.bioontology.org/ontology/LNC/LP29978-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/7569003', 'http://purl.bioontology.org/ontology/LNC/LP222072-3', 'http://purl.bioontology.org/ontology/LNC/LA11862-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/434851000124108', 'http://purl.bioontology.org/ontology/LNC/LA9227-5', 'http://purl.bioontology.org/ontology/SNOMEDCT/56116003', 'http://purl.bioontology.org/ontology/SNOMEDCT/224751004']"
403,"Social Communication Questionnaire: 11. Does she/he ever have any interests that preoccupy her/him and might seem odd to other people (e.g. traffic lights, drainpipes, timetables)?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/HP_0010865', 'http://purl.bioontology.org/ontology/OMIM/608891', 'http://www.orpha.net/ORDO/Orphanet_122102', 'http://purl.bioontology.org/ontology/LNC/LA17591-1']"
404,"Social Communication Questionnaire: 12. Does she/he ever seem to be more interested in parts of a toy or an object (e.g. spinning the wheels of a car), rather than in using the objects as it was intended?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA16651-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/225469004', 'http://semanticscience.org/resource/SIO_000848', 'http://purl.obolibrary.org/obo/GSSO_004322', 'http://purl.bioontology.org/ontology/SNOMEDCT/91032009', 'http://purl.bioontology.org/ontology/SNOMEDCT/272734009', 'http://purl.obolibrary.org/obo/BFO_0000030', 'http://purl.obolibrary.org/obo/HP_5200069', 'http://purl.obolibrary.org/obo/GO_0005826', 'http://www.orpha.net/ORDO/Orphanet_119829', 'http://purl.bioontology.org/ontology/SNOMEDCT/71783008', 'http://purl.bioontology.org/ontology/OMIM/160980', 'http://purl.bioontology.org/ontology/OMIM/602783', 'http://purl.bioontology.org/ontology/OMIM/604172', 'http://purl.bioontology.org/ontology/OMIM/602621', 'http://purl.bioontology.org/ontology/OMIM/603881', 'http://purl.bioontology.org/ontology/LNC/LA28439-0', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.bioontology.org/ontology/SNOMEDCT/260787004']"
405,Social Communication Questionnaire: 13. Does she/he ever have any special interests that are unusual in their intensity but otherwise appropriate for her/his age and peer group (e.g. trains or dinosaurs)?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/67995009', 'http://purl.obolibrary.org/obo/HP_0012824', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/SNOMEDCT/246261001', 'http://purl.bioontology.org/ontology/SNOMEDCT/389109008']"
406,"Social Communication Questionnaire: 14. Does she/he ever seem to be unusually interested in the sight, feel, sound, taste, or smell of things or people?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA16651-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/225469004', 'http://semanticscience.org/resource/SIO_000848', 'http://purl.obolibrary.org/obo/GSSO_009099', 'http://purl.bioontology.org/ontology/SNOMEDCT/68325009', 'http://purl.obolibrary.org/obo/GO_0050909', 'http://purl.bioontology.org/ontology/SNOMEDCT/397627001', 'http://purl.bioontology.org/ontology/SNOMEDCT/397686008']"
407,"Social Communication Questionnaire: 15. Does she/he ever have any mannerisms or odd ways of moving her/his hands or fingers, such as flapping or moving her/his fingers in front of her/his eyes?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/HP_0010865', 'http://purl.bioontology.org/ontology/OMIM/608891', 'http://www.orpha.net/ORDO/Orphanet_122102', 'http://purl.obolibrary.org/obo/GSSO_007916', 'http://purl.bioontology.org/ontology/OMIM/MTHU000072', 'http://purl.bioontology.org/ontology/LNC/LA16720-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/255549009', 'http://purl.bioontology.org/ontology/LNC/104212-6', 'http://purl.bioontology.org/ontology/LNC/MTHU001409', 'http://purl.bioontology.org/ontology/OMIM/MTHU000020', 'http://purl.bioontology.org/ontology/LNC/LP7222-5']"
408,"Social Communication Questionnaire: 16. Does she/he ever have any complicated movements of her/his whole body, such as spinning or repeatedly bouncing up and down?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/255302009', 'http://purl.bioontology.org/ontology/LNC/LA4441-7', 'http://purl.bioontology.org/ontology/LNC/LP94547-4', 'http://purl.bioontology.org/ontology/LNC/MTHU032566', 'http://purl.bioontology.org/ontology/LNC/LP200036-4', 'http://purl.org/sig/ont/fma/fma256135', 'http://purl.obolibrary.org/obo/HP_5200069', 'http://purl.bioontology.org/ontology/SNOMEDCT/769410007', 'http://purl.obolibrary.org/obo/HP_5200134']"
409,"Social Communication Questionnaire: 17. Does she/he ever injure herself/himself deliberately, such as biting her/his arm or banging her/his head?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_007924', 'http://www.orpha.net/ORDO/Orphanet_96346', 'http://www.orpha.net/ORDO/Orphanet_492429', 'http://purl.bioontology.org/ontology/LNC/LP435894-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/53120007', 'http://purl.bioontology.org/ontology/LNC/LP436486-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/69536005', 'http://purl.bioontology.org/ontology/LNC/LP199977-2', 'http://purl.bioontology.org/ontology/LNC/LP7281-1', 'http://purl.bioontology.org/ontology/LNC/LA18116-6', 'http://purl.bioontology.org/ontology/OMIM/MTHU000086', 'http://purl.bioontology.org/ontology/LNC/MTHU001435']"
410,Social Communication Questionnaire: 18.Does she/he ever have any objects (other than a soft toy or comfort blanket) that she/he has to carry around?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/260787004', 'http://purl.bioontology.org/ontology/OMIM/614813', 'http://purl.bioontology.org/ontology/SNOMEDCT/37378003', 'http://purl.bioontology.org/ontology/LNC/LA14744-9', 'http://purl.obolibrary.org/obo/GSSO_004322', 'http://purl.bioontology.org/ontology/SNOMEDCT/91032009', 'http://purl.bioontology.org/ontology/SNOMEDCT/19328000', 'http://purl.obolibrary.org/obo/NCIT_C81005']"
411,Social Communication Questionnaire: 19. Does she/he ever have any particular friends or a best friend?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA27352-6', 'http://www.orpha.net/ORDO/Orphanet_119029', 'http://purl.bioontology.org/ontology/SNOMEDCT/113163005', 'http://purl.obolibrary.org/obo/NCIT_C72884', 'http://purl.bioontology.org/ontology/LNC/LA6656-8']"
412,Social Communication Questionnaire: 20. Does she/he ever talk to you just to be friendly (rather than to get something)?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_003240', 'http://purl.bioontology.org/ontology/OMIM/MTHU062628', 'http://purl.bioontology.org/ontology/LNC/LA28439-0']"
