ensembl_id,omim_id
ENSG00000265394.1,
ENSG00000269934.3,
ENSG00000132300.19,614918
ENSG00000228860.1,
ENSG00000130935.10,615366
ENSG00000128534.8,607288
ENSG00000187535.14,614620
ENSG00000211641.3,
ENSG00000167748.11,147910
ENSG00000187672.14,617250
ENSG00000257767.3,
ENSG00000261095.1,
ENSG00000131495.9,602137
ENSG00000230064.1,
ENSG00000139187.10,604874
ENSG00000273240.1,
ENSG00000169692.13,603100
ENSG00000232593.7,301019
ENSG00000274937.1,
ENSG00000186806.6,617740
ENSG00000230910.4,
ENSG00000130560.9,608129
ENSG00000223714.1,
ENSG00000226953.8,
ENSG00000270302.1,
ENSG00000188033.10,620118
ENSG00000184678.10,601831
ENSG00000287470.1,
ENSG00000139211.7,615690
ENSG00000259113.1,
ENSG00000198685.4,618259
ENSG00000079246.16,194364
ENSG00000259595.1,
ENSG00000265799.1,
ENSG00000284431.1,
ENSG00000235139.2,
ENSG00000155254.13,616970
ENSG00000050820.17,602941
ENSG00000243479.3,
ENSG00000268869.6,
ENSG00000204175.5,611240
ENSG00000172965.17,617144
ENSG00000280109.3,
ENSG00000248525.2,
ENSG00000229776.1,
ENSG00000251529.1,
ENSG00000164123.7,
ENSG00000011275.19,609948
ENSG00000177447.6,
ENSG00000260364.1,
ENSG00000170777.11,617567
ENSG00000196428.12,617724
ENSG00000248988.1,
ENSG00000086504.18,604853
ENSG00000232884.9,
ENSG00000261801.6,616800
ENSG00000280832.1,
ENSG00000011523.14,616889
ENSG00000196497.17,
ENSG00000284728.1,
ENSG00000254030.1,
ENSG00000224877.4,618461
ENSG00000253802.2,
ENSG00000276508.1,
ENSG00000279558.1,
ENSG00000286675.1,
ENSG00000228307.2,
ENSG00000132872.12,600103
ENSG00000259224.2,
ENSG00000135643.5,605223
ENSG00000213232.2,
ENSG00000196391.11,
ENSG00000110675.13,615456
ENSG00000117479.15,603941
ENSG00000278077.1,
ENSG00000265554.2,
ENSG00000106799.13,190181
ENSG00000164576.12,610398
ENSG00000224789.1,
ENSG00000286778.1,
ENSG00000149575.9,601327
ENSG00000108107.15,603638
ENSG00000267051.1,
ENSG00000285822.1,
ENSG00000251199.6,
ENSG00000170624.14,601411
ENSG00000262818.1,
ENSG00000101204.18,118504
ENSG00000163794.6,600945
ENSG00000234190.1,
ENSG00000287952.1,
ENSG00000075420.13,611909
ENSG00000237007.4,
ENSG00000038295.8,606742
ENSG00000184697.7,615798
ENSG00000248374.1,
ENSG00000183354.12,
ENSG00000267992.1,
ENSG00000254636.1,611313
ENSG00000275562.1,
ENSG00000233728.1,
ENSG00000154079.6,619198
ENSG00000258474.1,
ENSG00000187699.10,615117
ENSG00000287386.1,
ENSG00000278463.2,602795
ENSG00000259719.6,
ENSG00000117525.14,134390
ENSG00000120963.12,619526
ENSG00000231013.2,
ENSG00000226149.6,
ENSG00000165125.22,606680
ENSG00000104522.16,137020
ENSG00000253927.1,
ENSG00000231674.1,
ENSG00000223705.9,
ENSG00000267778.1,
ENSG00000233448.2,
ENSG00000119630.14,601121
ENSG00000279725.1,
ENSG00000145740.19,607819
ENSG00000213420.8,618446
ENSG00000232378.1,
ENSG00000221926.13,609505
ENSG00000236276.2,
ENSG00000133398.4,612382
ENSG00000087269.16,611526
ENSG00000166794.6,123841
ENSG00000111676.15,607462
ENSG00000250920.3,
ENSG00000111832.13,620844
ENSG00000249013.1,
ENSG00000166886.13,602381
ENSG00000175087.10,610785
ENSG00000116205.14,
ENSG00000159200.18,602917
ENSG00000235701.1,
ENSG00000232622.1,
ENSG00000285685.1,
ENSG00000268615.1,
ENSG00000069011.16,602149
ENSG00000175746.6,
ENSG00000250072.6,
ENSG00000133019.12,118494
ENSG00000241905.1,
ENSG00000236213.2,
ENSG00000171291.9,
ENSG00000267519.6,
ENSG00000073578.17,600857
ENSG00000164744.13,618984
ENSG00000226058.1,
ENSG00000234458.4,
ENSG00000147601.15,600951
ENSG00000162891.11,605619
ENSG00000287971.1,
ENSG00000065243.20,602549
ENSG00000126062.4,607069
ENSG00000267218.2,
ENSG00000107957.16,619455
ENSG00000136319.12,619014
ENSG00000039319.17,608880
ENSG00000231987.1,
ENSG00000142609.19,620187
ENSG00000249139.2,
ENSG00000130818.12,
ENSG00000152620.13,615787
ENSG00000121570.12,614125
ENSG00000258740.1,
ENSG00000217653.1,
ENSG00000256120.2,
ENSG00000203950.7,
ENSG00000182774.13,180472
ENSG00000235495.1,
ENSG00000278254.4,
ENSG00000236274.1,
ENSG00000080644.16,118503
ENSG00000164114.19,610070
ENSG00000253266.1,
ENSG00000133124.12,300904
ENSG00000228648.1,
ENSG00000153896.19,
ENSG00000169385.3,131410
ENSG00000196844.9,
ENSG00000126838.10,176420
ENSG00000268854.1,
ENSG00000198961.10,619341
ENSG00000162687.19,610044
ENSG00000137274.13,603156
ENSG00000285904.1,
ENSG00000108924.14,142385
ENSG00000141965.5,613538
ENSG00000254568.1,
ENSG00000163864.17,608702
ENSG00000196944.5,
ENSG00000253265.1,
ENSG00000170454.6,609025
ENSG00000285565.1,
ENSG00000203878.11,
ENSG00000248576.1,
ENSG00000233339.1,
ENSG00000279610.1,
ENSG00000262061.6,
ENSG00000147761.8,
ENSG00000279486.6,
ENSG00000287734.1,
ENSG00000133313.15,169800
ENSG00000137876.11,613262
ENSG00000267686.2,
ENSG00000117143.13,602862
ENSG00000237234.7,
ENSG00000259106.1,
ENSG00000189091.13,605592
ENSG00000204113.6,
ENSG00000254024.1,
ENSG00000179935.10,
ENSG00000224481.3,
ENSG00000204219.11,604128
ENSG00000231202.1,
ENSG00000177337.8,
ENSG00000251416.1,
ENSG00000273327.1,
ENSG00000079337.16,606057
ENSG00000257359.1,
ENSG00000178773.15,605689
ENSG00000129667.13,614404
ENSG00000273388.1,
ENSG00000165071.15,620287
ENSG00000271554.1,
ENSG00000288548.1,
ENSG00000256937.1,
ENSG00000121900.19,
ENSG00000215039.7,
ENSG00000106772.18,610691
ENSG00000247763.2,
ENSG00000284391.1,
ENSG00000158104.11,609695
ENSG00000014641.21,154200
ENSG00000165868.16,610701
ENSG00000229976.2,
ENSG00000214336.5,612351
ENSG00000280333.1,
ENSG00000272334.1,
ENSG00000243495.1,
ENSG00000226321.5,
ENSG00000267449.1,
ENSG00000205015.1,
ENSG00000218186.2,
ENSG00000137727.13,609568
ENSG00000215381.3,
ENSG00000164889.15,109280
ENSG00000115446.12,617826
ENSG00000251602.7,
ENSG00000105287.13,607074
ENSG00000124535.16,608196
ENSG00000287323.1,
ENSG00000151491.14,600206
ENSG00000276548.1,
ENSG00000248285.1,
ENSG00000213859.8,609848
ENSG00000257910.1,
ENSG00000225578.1,
ENSG00000253199.2,
ENSG00000254429.1,
ENSG00000127124.16,606649
ENSG00000177335.11,
ENSG00000213926.3,
ENSG00000256040.2,610689
ENSG00000260046.1,
ENSG00000183682.8,620847
ENSG00000137273.6,603250
ENSG00000214073.2,
ENSG00000250566.1,
ENSG00000284969.1,
ENSG00000165152.9,620264
ENSG00000211871.1,
ENSG00000121578.13,604015
ENSG00000172724.12,602227
ENSG00000260850.2,
ENSG00000106526.11,
ENSG00000178403.4,606624
ENSG00000227253.3,
ENSG00000230352.1,
ENSG00000188388.10,
ENSG00000135503.13,601300
ENSG00000222038.4,
ENSG00000223647.1,
ENSG00000198722.14,605836
ENSG00000230452.1,
ENSG00000229358.3,
ENSG00000236453.5,
ENSG00000261868.1,
ENSG00000230730.1,
ENSG00000141469.18,613868
ENSG00000118985.16,601874
ENSG00000187005.5,
ENSG00000253376.2,
ENSG00000286728.1,
ENSG00000268509.2,
ENSG00000237436.1,
ENSG00000241772.2,
ENSG00000072954.7,611235
ENSG00000151893.15,618764
ENSG00000197376.3,
ENSG00000145741.16,602542
ENSG00000287808.1,
ENSG00000126088.14,613521
ENSG00000140015.20,605716
ENSG00000285809.1,
ENSG00000225581.3,
ENSG00000005889.16,314980
ENSG00000105143.13,600637
ENSG00000166920.13,608409
ENSG00000268447.6,
ENSG00000131389.18,186854
ENSG00000266086.3,
ENSG00000134389.10,608593
ENSG00000239413.1,
ENSG00000183090.5,608946
ENSG00000257519.1,
ENSG00000279681.1,
ENSG00000276968.1,
ENSG00000080823.23,605762
ENSG00000223675.1,
ENSG00000118217.7,605537
ENSG00000171401.15,148065
ENSG00000253663.1,
ENSG00000146701.12,154100
ENSG00000231355.1,
ENSG00000186452.11,
ENSG00000092068.20,604235
ENSG00000204380.4,
ENSG00000227051.7,
ENSG00000172867.4,600194
ENSG00000249934.2,
ENSG00000233086.8,
ENSG00000249942.1,
ENSG00000131459.13,603865
ENSG00000279458.2,
ENSG00000232537.2,
ENSG00000183597.16,616830
ENSG00000254929.6,
ENSG00000249738.10,
ENSG00000153066.13,617792
ENSG00000145700.10,618423
ENSG00000211678.2,
ENSG00000286559.1,
ENSG00000247853.2,
ENSG00000152767.17,602654
ENSG00000131055.5,607976
ENSG00000265944.1,
ENSG00000129636.13,611803
ENSG00000241739.1,
ENSG00000140521.17,174763
ENSG00000257017.9,140100
ENSG00000233085.5,
ENSG00000233677.1,
ENSG00000276570.1,
ENSG00000196862.10,612707
ENSG00000108947.5,602297
ENSG00000251076.1,
ENSG00000160838.14,
ENSG00000229727.7,
ENSG00000287895.1,
ENSG00000237338.1,
ENSG00000178928.8,611166
ENSG00000232362.1,
ENSG00000104881.16,607463
ENSG00000204382.11,300289
ENSG00000230980.1,
ENSG00000283554.1,
ENSG00000257146.1,
ENSG00000254578.1,
ENSG00000272183.1,
ENSG00000144468.17,617515
ENSG00000120942.14,611632
ENSG00000284634.1,
ENSG00000249854.3,
ENSG00000261341.7,
ENSG00000238278.3,
ENSG00000231420.1,
ENSG00000239202.3,
ENSG00000117505.13,601482
ENSG00000287331.1,
ENSG00000132964.12,603184
ENSG00000160551.12,610266
ENSG00000159140.21,182465
ENSG00000267510.1,
ENSG00000167757.14,604434
ENSG00000286332.1,
ENSG00000288059.1,
ENSG00000184992.13,615627
ENSG00000204933.3,
ENSG00000253923.2,
ENSG00000203650.9,
ENSG00000227879.2,
ENSG00000234513.1,
ENSG00000176973.8,616128
ENSG00000255533.1,
ENSG00000280734.3,
ENSG00000266128.2,
ENSG00000236813.1,
ENSG00000251187.5,
ENSG00000286044.1,
ENSG00000123427.17,615258
ENSG00000285939.2,
ENSG00000273064.1,
ENSG00000198742.10,605568
ENSG00000288587.1,
ENSG00000270316.1,
ENSG00000241097.2,
ENSG00000006071.16,600509
ENSG00000231460.2,
ENSG00000166793.13,609725
ENSG00000270231.4,613998
ENSG00000105983.23,605522
ENSG00000139537.11,611088
ENSG00000213601.3,
ENSG00000243018.1,
ENSG00000091428.18,606058
ENSG00000100558.9,608007
ENSG00000237530.2,
ENSG00000146005.4,620656
ENSG00000122592.8,142950
