ensembl_id,omim_id
ENSG00000100216.6,607046
ENSG00000163788.14,612760
ENSG00000198818.10,
ENSG00000231369.1,
ENSG00000213553.4,
ENSG00000140090.18,609840
ENSG00000256581.1,
ENSG00000219387.2,
ENSG00000107789.16,605391
ENSG00000236961.1,
ENSG00000277411.1,
ENSG00000262003.1,
ENSG00000280440.1,
ENSG00000243711.1,
ENSG00000114374.13,400005
ENSG00000272485.1,
ENSG00000044090.12,609577
ENSG00000165606.10,606701
ENSG00000223440.1,
ENSG00000285878.1,
ENSG00000204381.12,618843
ENSG00000286353.1,
ENSG00000234557.2,
ENSG00000179431.7,612206
ENSG00000125514.9,
ENSG00000287346.1,
ENSG00000184661.14,618785
ENSG00000255009.4,613696
ENSG00000271283.1,
ENSG00000262117.5,613746
ENSG00000250567.1,
ENSG00000105778.19,612927
ENSG00000187609.16,620859
ENSG00000274447.1,
ENSG00000000005.6,300459
ENSG00000272473.1,
ENSG00000224497.1,
ENSG00000260370.2,
ENSG00000189227.6,
ENSG00000253625.1,
ENSG00000213440.2,
ENSG00000185915.5,
ENSG00000145431.11,608452
ENSG00000196196.3,
ENSG00000216331.2,
ENSG00000231831.1,
ENSG00000183734.5,601886
ENSG00000244461.1,
ENSG00000124486.14,300072
ENSG00000198934.5,300759
ENSG00000197934.8,616021
ENSG00000286026.1,
ENSG00000181090.21,607001
ENSG00000257563.1,
ENSG00000269839.1,
ENSG00000273174.1,
ENSG00000198205.7,300235
ENSG00000212605.1,
ENSG00000113716.13,619800
ENSG00000272405.1,
ENSG00000099326.9,194550
ENSG00000114120.14,616149
ENSG00000272789.1,
ENSG00000227198.1,
ENSG00000230759.1,
ENSG00000114670.14,609779
ENSG00000265639.1,
ENSG00000236253.7,
ENSG00000267656.1,
ENSG00000180008.9,616337
ENSG00000266598.1,
ENSG00000272182.1,
ENSG00000155275.19,614309
ENSG00000139197.11,600414
ENSG00000229967.1,
ENSG00000265967.1,
ENSG00000254014.1,
ENSG00000219451.3,
ENSG00000277265.1,
ENSG00000144771.8,
ENSG00000143228.13,611772
ENSG00000182107.7,611029
ENSG00000185873.8,
ENSG00000203809.7,
ENSG00000224773.2,
ENSG00000197415.12,609594
ENSG00000231185.7,
ENSG00000265190.7,602396
ENSG00000106631.8,613993
ENSG00000198642.7,611201
ENSG00000226789.1,
ENSG00000125354.24,300683
ENSG00000287790.1,
ENSG00000127955.17,139310
ENSG00000255224.1,
ENSG00000235098.9,
ENSG00000272825.1,
ENSG00000113448.19,600129
ENSG00000153933.10,601440
ENSG00000176515.1,
ENSG00000164556.7,
ENSG00000204370.13,602690
ENSG00000274629.1,
ENSG00000287914.1,
ENSG00000286822.1,
ENSG00000171533.12,601783
ENSG00000237413.5,
ENSG00000177380.14,603144
ENSG00000270891.1,
ENSG00000250714.3,
ENSG00000226622.6,
ENSG00000041982.16,187380
ENSG00000169181.13,617161
ENSG00000285448.1,
ENSG00000182544.9,620345
ENSG00000149646.12,
ENSG00000286721.1,
ENSG00000286129.1,
ENSG00000108953.17,605066
ENSG00000238265.1,
ENSG00000239614.1,
ENSG00000128266.9,139160
ENSG00000092295.12,190195
ENSG00000260382.1,
ENSG00000105649.10,179490
ENSG00000255477.1,
ENSG00000285631.1,
ENSG00000171722.13,617257
ENSG00000253111.2,
ENSG00000072832.15,602462
ENSG00000176410.8,618202
ENSG00000213339.9,609615
ENSG00000123453.18,604455
ENSG00000262810.1,
ENSG00000169016.17,602944
ENSG00000219135.1,
ENSG00000004866.22,600833
ENSG00000095906.17,610779
ENSG00000273238.3,
ENSG00000112799.9,605241
ENSG00000233785.1,
ENSG00000255193.1,
ENSG00000274020.4,
ENSG00000267868.1,
ENSG00000172969.8,
ENSG00000182035.12,611396
ENSG00000186399.10,
ENSG00000262319.1,
ENSG00000133055.9,160795
ENSG00000187054.16,611704
ENSG00000077514.9,611415
ENSG00000234076.1,
ENSG00000237063.1,
ENSG00000266268.5,
ENSG00000270906.1,
ENSG00000275516.1,
ENSG00000234369.1,
ENSG00000261136.1,
ENSG00000276408.1,
ENSG00000115993.13,607334
ENSG00000131591.18,
ENSG00000225315.2,
ENSG00000277245.1,
ENSG00000162105.20,603290
ENSG00000237031.7,
ENSG00000126003.7,604866
ENSG00000233882.2,
ENSG00000134443.10,137260
ENSG00000214727.2,
ENSG00000167635.12,601505
ENSG00000240674.1,
ENSG00000169758.13,618691
ENSG00000282246.1,
ENSG00000274011.1,
ENSG00000275178.1,
ENSG00000235879.1,
ENSG00000242088.1,
ENSG00000248946.2,
ENSG00000118308.15,602003
ENSG00000139318.8,602748
ENSG00000288234.1,
ENSG00000173163.10,607238
ENSG00000287647.1,
ENSG00000272425.1,
ENSG00000225563.2,
ENSG00000162490.7,612682
ENSG00000250697.2,
ENSG00000286578.1,
ENSG00000267922.1,
ENSG00000234409.7,
ENSG00000259314.1,
ENSG00000108528.14,604165
ENSG00000123607.16,612014
ENSG00000166441.13,603637
ENSG00000250193.1,
ENSG00000144227.5,604635
ENSG00000187918.6,
ENSG00000278816.1,
ENSG00000111269.3,603476
ENSG00000226783.1,
ENSG00000271370.1,
ENSG00000250682.6,
ENSG00000115541.11,600141
ENSG00000125378.16,112262
ENSG00000158486.13,603334
ENSG00000076685.19,600417
ENSG00000223723.1,
ENSG00000251435.1,
ENSG00000227803.2,
ENSG00000261404.7,
ENSG00000280683.1,
ENSG00000251177.2,
ENSG00000285930.1,
ENSG00000273471.1,
ENSG00000175334.8,603811
ENSG00000140379.9,601056
ENSG00000213468.7,300999
ENSG00000109016.17,616160
ENSG00000142677.4,605457
ENSG00000269843.1,
ENSG00000258828.2,
ENSG00000148153.14,613273
ENSG00000179571.10,612970
ENSG00000239407.5,
ENSG00000149925.22,103850
ENSG00000112877.8,616475
ENSG00000267062.1,
ENSG00000286164.1,
ENSG00000059378.13,612481
ENSG00000288575.1,
ENSG00000182487.12,
ENSG00000287825.1,
ENSG00000250390.2,
ENSG00000171488.15,612889
ENSG00000214019.2,
ENSG00000213023.11,600327
ENSG00000161270.20,602716
ENSG00000285253.1,
ENSG00000223886.3,
ENSG00000198522.14,611479
ENSG00000270437.1,
ENSG00000248360.7,
ENSG00000159650.9,613012
ENSG00000173557.15,
ENSG00000286780.1,
ENSG00000270829.1,
ENSG00000274515.1,
ENSG00000249675.1,
ENSG00000258707.2,
ENSG00000133519.12,
ENSG00000273487.1,
ENSG00000175497.17,608209
ENSG00000176882.5,
ENSG00000244573.3,
ENSG00000287531.1,
ENSG00000239719.1,
ENSG00000250501.3,
ENSG00000221719.1,
ENSG00000168890.14,616757
ENSG00000072858.11,606816
ENSG00000280418.1,
ENSG00000173436.15,616574
ENSG00000275722.5,612751
ENSG00000150276.8,
ENSG00000237765.8,
ENSG00000118113.12,120355
ENSG00000235154.1,
ENSG00000267786.1,
ENSG00000163736.4,121010
ENSG00000249923.1,
ENSG00000259916.1,
ENSG00000258134.1,
ENSG00000170291.15,615019
ENSG00000170370.12,600035
ENSG00000237217.1,
ENSG00000129422.14,609589
ENSG00000253173.3,
ENSG00000178105.11,601235
ENSG00000163295.5,171740
ENSG00000267080.6,
ENSG00000122194.19,173350
ENSG00000285053.1,
ENSG00000130021.15,306480
ENSG00000221986.7,619807
ENSG00000228572.7,
ENSG00000105519.18,114212
ENSG00000215151.4,
ENSG00000228043.5,
ENSG00000285774.3,
ENSG00000198836.11,605290
ENSG00000204653.10,
ENSG00000235297.3,
ENSG00000253708.1,
ENSG00000237163.1,
ENSG00000234225.2,
ENSG00000140279.13,606759
ENSG00000164087.8,614783
ENSG00000183044.12,137150
ENSG00000277089.4,
ENSG00000287693.1,
ENSG00000161970.15,603704
ENSG00000231738.11,
ENSG00000248112.1,
ENSG00000039600.11,606698
ENSG00000257599.3,
ENSG00000244052.1,
ENSG00000235066.7,
ENSG00000026297.17,612944
ENSG00000168026.19,611430
ENSG00000268326.1,
ENSG00000231492.3,
ENSG00000246889.2,
ENSG00000112339.15,612450
ENSG00000274156.1,
ENSG00000211885.1,
ENSG00000239393.1,
ENSG00000206527.10,615939
ENSG00000268566.6,
ENSG00000163485.17,102775
ENSG00000210196.2,590075
ENSG00000166816.15,607490
ENSG00000126262.5,603823
ENSG00000160224.17,607358
ENSG00000135632.12,619114
ENSG00000279306.1,
ENSG00000189229.11,
ENSG00000285085.1,
ENSG00000111300.10,612755
ENSG00000176510.5,
ENSG00000282478.1,
ENSG00000270188.1,
ENSG00000114993.17,602288
ENSG00000253447.6,
ENSG00000225396.6,
ENSG00000161692.18,611661
ENSG00000215817.7,
ENSG00000273455.1,
ENSG00000287275.1,
ENSG00000021488.13,604144
ENSG00000130695.16,618898
ENSG00000261720.1,
ENSG00000179136.7,
ENSG00000279930.1,
ENSG00000258924.4,
ENSG00000144909.8,606739
ENSG00000256944.1,
ENSG00000130517.14,610694
ENSG00000259245.2,
ENSG00000234311.1,
ENSG00000221164.1,
ENSG00000167004.13,602046
ENSG00000113916.18,109565
ENSG00000162852.14,613439
ENSG00000150676.13,
ENSG00000273062.1,
ENSG00000277621.1,
ENSG00000238054.3,
ENSG00000163632.14,
ENSG00000211956.2,
ENSG00000155622.7,300416
ENSG00000104331.9,614010
ENSG00000105875.15,616303
ENSG00000234281.5,
ENSG00000225854.2,
ENSG00000287933.1,
ENSG00000221737.1,
ENSG00000118640.11,603177
ENSG00000162727.3,
ENSG00000213753.11,
ENSG00000283247.2,
ENSG00000230233.1,
ENSG00000241546.1,
ENSG00000233110.1,
ENSG00000235494.2,
ENSG00000251488.1,
ENSG00000205362.11,156350
ENSG00000111142.14,601870
ENSG00000249188.1,
ENSG00000187239.17,606191
ENSG00000204174.8,601790
ENSG00000187630.17,615196
ENSG00000248939.1,
ENSG00000261803.2,
ENSG00000269469.1,
ENSG00000213432.2,
ENSG00000215692.2,
ENSG00000082929.8,
ENSG00000108468.15,604511
ENSG00000258557.1,
ENSG00000259111.1,
ENSG00000152795.18,607137
ENSG00000271947.1,
ENSG00000279217.1,
ENSG00000259536.5,
ENSG00000228672.4,
ENSG00000174175.17,173610
ENSG00000234814.8,
ENSG00000112130.17,611685
ENSG00000135362.14,611728
ENSG00000267603.1,
ENSG00000188277.10,
ENSG00000238272.1,
ENSG00000285613.1,
ENSG00000148444.16,616700
ENSG00000260962.1,
ENSG00000282301.4,
ENSG00000227939.1,
ENSG00000055609.21,606833
ENSG00000104763.20,613468
ENSG00000182326.15,120580
ENSG00000166197.17,602394
ENSG00000136875.13,607795
ENSG00000254127.1,
ENSG00000175550.8,602289
ENSG00000139597.18,
ENSG00000177409.12,611170
ENSG00000081051.8,104150
ENSG00000262147.1,
ENSG00000232225.6,
ENSG00000253595.6,
ENSG00000168477.19,600985
ENSG00000237923.1,
ENSG00000286533.1,
ENSG00000111860.14,618865
ENSG00000240891.8,617015
ENSG00000282939.1,
ENSG00000261693.1,
ENSG00000134815.19,615475
ENSG00000287291.1,
ENSG00000273272.2,
ENSG00000165806.21,601761
ENSG00000286623.1,
ENSG00000250815.1,
ENSG00000255730.5,
ENSG00000071127.17,604734
ENSG00000015479.20,164015
ENSG00000119900.9,
ENSG00000236559.1,
ENSG00000236695.1,
ENSG00000270780.1,
ENSG00000253774.1,
ENSG00000229758.2,
ENSG00000283549.1,
ENSG00000256706.1,
ENSG00000273100.1,
ENSG00000206053.13,619241
ENSG00000006740.17,617716
ENSG00000071859.15,300453
ENSG00000097096.9,620834
ENSG00000238117.1,
ENSG00000115946.8,618710
ENSG00000164346.10,612497
ENSG00000226206.1,
ENSG00000078967.13,
ENSG00000232916.1,
ENSG00000149823.9,615738
ENSG00000054523.19,605995
ENSG00000287051.1,
ENSG00000168394.12,170260
ENSG00000279223.1,
ENSG00000197694.18,182810
ENSG00000236854.2,
ENSG00000277235.1,
ENSG00000176472.10,
ENSG00000236703.1,
ENSG00000197140.15,618602
ENSG00000108960.9,604467
ENSG00000196408.12,611256
ENSG00000257777.1,
ENSG00000244094.2,617589
ENSG00000131096.10,600781
ENSG00000235615.2,
ENSG00000233223.3,
ENSG00000155816.21,606373
ENSG00000278921.2,
ENSG00000029725.17,603616
ENSG00000204092.2,
ENSG00000248572.6,
ENSG00000237941.2,610980
ENSG00000270542.1,
ENSG00000234825.3,
ENSG00000286330.1,
ENSG00000204612.1,619962
ENSG00000213701.4,
ENSG00000250222.2,
ENSG00000278370.1,
ENSG00000174059.17,142230
ENSG00000259813.1,
ENSG00000100997.20,613599
ENSG00000165283.16,608292
ENSG00000176134.5,
ENSG00000175592.9,136515
ENSG00000141696.13,617419
ENSG00000203721.7,
ENSG00000225868.7,
ENSG00000215398.11,
ENSG00000149435.12,612338
ENSG00000288581.1,
ENSG00000125818.18,617858
ENSG00000236230.2,
ENSG00000172831.14,605278
ENSG00000230953.2,
ENSG00000288690.1,
ENSG00000159398.16,618678
ENSG00000168065.16,607097
ENSG00000256551.2,
ENSG00000119977.22,613847
ENSG00000244155.1,
ENSG00000119973.6,600895
ENSG00000232926.1,
ENSG00000271758.2,
ENSG00000233875.1,
ENSG00000133316.16,617947
ENSG00000244246.1,
ENSG00000288586.1,
ENSG00000227507.3,600978
ENSG00000086666.19,610183
ENSG00000000003.15,300191
ENSG00000260288.4,
ENSG00000230993.1,
ENSG00000230492.1,
ENSG00000124490.14,187430
ENSG00000147059.8,300621
ENSG00000159860.7,
ENSG00000267791.1,
ENSG00000176444.19,602989
ENSG00000186493.14,
ENSG00000260087.1,
ENSG00000105929.16,605239
ENSG00000229690.1,
ENSG00000272010.1,
ENSG00000135378.4,611690
ENSG00000226918.1,
ENSG00000248762.2,
ENSG00000135175.5,620522
ENSG00000236864.1,
ENSG00000128564.7,602186
ENSG00000276216.1,
ENSG00000206588.1,
ENSG00000166401.15,601697
ENSG00000114480.13,607839
ENSG00000181984.11,
ENSG00000180644.8,170280
ENSG00000128513.16,606478
ENSG00000130287.14,600826
ENSG00000168010.11,618716
ENSG00000235036.4,
ENSG00000231449.1,
ENSG00000267335.2,
ENSG00000257890.1,
ENSG00000272410.5,
ENSG00000224977.1,
ENSG00000167972.14,601615
ENSG00000255031.5,
ENSG00000231022.1,
ENSG00000277482.1,
ENSG00000271185.1,
ENSG00000148690.12,608866
ENSG00000165487.14,610632
ENSG00000020219.9,
ENSG00000229180.7,
ENSG00000119509.13,243305
ENSG00000287225.1,
ENSG00000176974.20,182144
ENSG00000168515.3,615060
ENSG00000230989.7,604553
ENSG00000089335.21,
ENSG00000229785.1,
ENSG00000288524.1,
ENSG00000213394.3,
ENSG00000261036.2,
ENSG00000261645.7,
ENSG00000085449.15,618080
ENSG00000141314.13,619017
ENSG00000236360.2,
ENSG00000204147.11,610987
ENSG00000288656.1,
ENSG00000099995.19,605595
ENSG00000260262.1,
ENSG00000030419.17,606234
ENSG00000286315.1,
ENSG00000286162.2,
ENSG00000197619.14,
ENSG00000248015.7,
ENSG00000162298.19,608046
ENSG00000240596.1,
ENSG00000138758.12,612887
ENSG00000188782.9,609121
ENSG00000234478.1,
ENSG00000166049.11,300993
ENSG00000074527.13,610401
ENSG00000168374.11,601177
ENSG00000197535.15,160777
ENSG00000102794.10,615275
ENSG00000173456.5,606130
ENSG00000113645.15,610533
ENSG00000253365.1,
ENSG00000288598.2,
ENSG00000244342.5,
ENSG00000224901.1,
ENSG00000255182.2,
ENSG00000165370.3,300393
ENSG00000255071.3,
ENSG00000226425.1,
ENSG00000129654.8,602291
ENSG00000133433.11,
ENSG00000261294.1,
ENSG00000250592.1,
ENSG00000286990.1,
ENSG00000254992.1,
ENSG00000198189.11,612831
ENSG00000224944.2,
ENSG00000095637.23,605264
ENSG00000215305.10,608550
ENSG00000267289.1,
ENSG00000173890.17,
ENSG00000235382.1,
ENSG00000144647.6,614828
ENSG00000109452.12,607494
ENSG00000245812.3,
ENSG00000148942.15,612455
ENSG00000185950.9,600797
ENSG00000187391.22,606382
ENSG00000279040.1,
ENSG00000267498.2,
ENSG00000168329.14,601470
ENSG00000205882.8,
ENSG00000105443.15,602488
ENSG00000232163.2,
ENSG00000279971.1,
ENSG00000227588.2,
ENSG00000286068.1,
ENSG00000256576.2,
ENSG00000261068.2,
ENSG00000165934.13,606028
ENSG00000164651.17,608306
ENSG00000278330.1,
ENSG00000254481.1,
ENSG00000127125.9,609853
ENSG00000157184.7,600650
ENSG00000260286.4,
ENSG00000260949.1,
ENSG00000183977.14,
ENSG00000225205.5,
ENSG00000288162.1,
ENSG00000272381.2,
ENSG00000218187.2,
ENSG00000226842.1,
ENSG00000241993.1,
ENSG00000236973.2,
ENSG00000287973.1,
ENSG00000157353.17,608675
ENSG00000267398.1,
ENSG00000117791.16,614127
ENSG00000254046.1,
ENSG00000255447.1,
ENSG00000260776.6,
ENSG00000267260.2,
ENSG00000111704.11,607937
ENSG00000250902.1,
ENSG00000135272.12,614511
ENSG00000230580.1,
ENSG00000107282.8,602414
ENSG00000237928.6,
ENSG00000167600.14,611529
ENSG00000234168.2,
ENSG00000211460.12,600575
ENSG00000105401.9,605065
ENSG00000214541.3,
